task_id,user_id,arrival_time,gpu_demand,memory_demand,duration,priority,deadline,isolation_level,carbon_preference
T001,U004,0.7,20.0,2048.0,22.0,low,47.7,soft,high
T002,U001,5.2,100.0,2048.0,42.0,low,84.2,soft,low
T003,U009,7.2,30.0,16384.0,43.0,low,61.2,strong,low
T004,U003,8.6,75.0,16384.0,22.0,high,40.6,strong,standard
T005,U006,8.9,40.0,4096.0,18.0,low,84.9,soft,standard
T006,U005,9.2,20.0,8192.0,27.0,low,84.2,strong,high
T007,U005,9.3,20.0,12288.0,10.0,high,64.3,strong,high
T008,U004,12.3,30.0,24576.0,9.0,medium,33.3,soft,low
T009,U006,13.7,20.0,12288.0,22.0,low,74.7,strong,standard
T010,U002,15.5,30.0,24576.0,22.0,high,91.5,soft,high
T011,U005,15.5,30.0,4096.0,34.0,high,83.5,soft,high
T012,U001,20.8,50.0,32768.0,8.0,medium,52.8,strong,standard
T013,U006,23.5,20.0,4096.0,41.0,low,119.5,strong,standard
T014,U004,23.9,75.0,4096.0,21.0,high,62.9,strong,high
T015,U004,24.2,60.0,16384.0,30.0,low,87.2,strong,low
T016,U003,24.5,10.0,32768.0,12.0,high,55.5,strong,high
T017,U008,25.0,20.0,12288.0,29.0,high,102.0,strong,high
T018,U009,26.1,10.0,24576.0,12.0,medium,91.1,strong,low
T019,U001,26.9,40.0,12288.0,15.0,high,80.9,strong,high
T020,U005,27.4,25.0,16384.0,11.0,high,88.4,soft,low
T021,U009,28.8,50.0,32768.0,15.0,low,87.8,strong,standard
T022,U004,29.0,10.0,2048.0,28.0,low,86.0,soft,high
T023,U009,29.5,20.0,2048.0,36.0,low,79.5,soft,high
T024,U009,30.2,75.0,16384.0,15.0,high,71.2,strong,low
T025,U005,31.1,100.0,32768.0,17.0,medium,103.1,strong,standard
T026,U004,33.4,100.0,12288.0,12.0,low,70.4,strong,low
T027,U001,33.7,100.0,4096.0,42.0,low,99.7,soft,low
T028,U009,34.8,20.0,2048.0,26.0,low,74.8,strong,high
T029,U010,36.1,75.0,4096.0,39.0,high,93.1,strong,low
T030,U002,36.2,75.0,32768.0,31.0,low,89.2,strong,standard
T031,U001,37.6,60.0,12288.0,34.0,high,127.6,soft,low
T032,U004,37.9,60.0,24576.0,26.0,low,79.9,soft,high
T033,U005,38.0,75.0,4096.0,32.0,medium,91.0,soft,low
T034,U001,42.5,75.0,32768.0,40.0,high,98.5,soft,low
T035,U008,47.6,30.0,4096.0,31.0,low,119.6,strong,low
T036,U005,50.1,25.0,12288.0,5.0,medium,89.1,strong,standard
T037,U004,50.6,100.0,24576.0,36.0,medium,105.6,soft,low
T038,U001,50.8,100.0,2048.0,25.0,high,88.8,strong,high
T039,U002,52.5,100.0,4096.0,8.0,low,102.5,soft,high
T040,U002,53.4,20.0,24576.0,20.0,high,108.4,soft,high
T041,U010,53.6,10.0,16384.0,10.0,high,99.6,strong,standard
T042,U005,54.6,30.0,24576.0,25.0,medium,104.6,soft,high
T043,U002,54.7,40.0,12288.0,25.0,low,137.7,strong,high
T044,U009,58.3,20.0,2048.0,39.0,medium,120.3,soft,standard
T045,U003,58.7,20.0,4096.0,28.0,medium,114.7,strong,high
T046,U002,60.3,100.0,2048.0,40.0,low,129.3,strong,low
T047,U005,60.9,20.0,24576.0,40.0,medium,119.9,soft,high
T048,U009,62.0,50.0,4096.0,45.0,medium,133.0,strong,low
T049,U001,63.2,20.0,24576.0,32.0,low,122.2,strong,low
T050,U007,63.5,40.0,4096.0,33.0,high,141.5,soft,low
T051,U001,68.7,20.0,24576.0,14.0,medium,126.7,soft,standard
T052,U001,70.9,25.0,2048.0,24.0,medium,127.9,soft,high
T053,U009,75.1,30.0,24576.0,11.0,medium,118.1,soft,low
T054,U001,78.5,25.0,32768.0,16.0,low,130.5,strong,standard
T055,U002,79.9,30.0,8192.0,15.0,medium,154.9,soft,standard
T056,U005,83.7,30.0,4096.0,34.0,low,149.7,soft,low
T057,U002,83.8,30.0,12288.0,26.0,medium,136.8,strong,high
T058,U001,84.1,100.0,12288.0,39.0,low,154.1,strong,low
T059,U007,84.2,40.0,2048.0,11.0,medium,143.2,strong,standard
T060,U004,84.8,100.0,2048.0,29.0,medium,159.8,soft,high
T061,U004,85.5,60.0,2048.0,38.0,medium,167.5,strong,low
T062,U002,86.0,50.0,16384.0,25.0,high,163.0,strong,high
T063,U007,88.6,40.0,24576.0,31.0,high,149.6,strong,high
T064,U007,89.3,25.0,4096.0,31.0,high,172.3,soft,high
T065,U005,89.8,40.0,12288.0,40.0,medium,139.8,soft,standard
T066,U004,91.0,50.0,12288.0,33.0,high,162.0,strong,high
T067,U009,91.2,25.0,24576.0,10.0,high,129.2,strong,low
T068,U004,93.6,30.0,24576.0,24.0,low,141.6,soft,low
T069,U002,93.7,30.0,12288.0,44.0,medium,196.7,strong,high
T070,U007,100.2,30.0,24576.0,29.0,low,170.2,soft,high
T071,U007,102.4,10.0,32768.0,11.0,low,172.4,soft,high
T072,U004,102.7,100.0,12288.0,8.0,low,155.7,strong,low
T073,U010,102.7,75.0,24576.0,38.0,medium,185.7,strong,high
T074,U003,105.2,100.0,12288.0,40.0,high,183.2,strong,standard
T075,U005,107.0,40.0,32768.0,20.0,high,177.0,strong,high
T076,U005,109.0,30.0,8192.0,33.0,low,156.0,strong,standard
T077,U003,111.2,50.0,16384.0,10.0,low,139.2,strong,high
T078,U007,111.3,25.0,24576.0,18.0,medium,143.3,strong,high
T079,U007,112.0,75.0,12288.0,8.0,medium,143.0,soft,high
T080,U005,112.2,60.0,12288.0,5.0,medium,149.2,strong,high
T081,U008,115.2,100.0,32768.0,43.0,low,182.2,strong,standard
T082,U007,116.7,75.0,2048.0,29.0,high,176.7,soft,standard
T083,U007,117.3,25.0,16384.0,39.0,high,167.3,soft,low
T084,U001,117.4,60.0,4096.0,34.0,medium,172.4,strong,standard
T085,U007,118.0,30.0,12288.0,25.0,medium,174.0,strong,standard
T086,U009,118.6,20.0,12288.0,6.0,low,181.6,strong,low
T087,U001,120.6,20.0,32768.0,7.0,low,185.6,soft,low
T088,U002,122.1,25.0,4096.0,13.0,high,175.1,soft,standard
T089,U010,125.4,40.0,32768.0,28.0,high,173.4,soft,low
T090,U005,126.4,40.0,2048.0,42.0,high,179.4,strong,standard
T091,U004,126.6,30.0,2048.0,42.0,low,222.6,strong,high
T092,U001,128.5,20.0,32768.0,41.0,medium,229.5,strong,high
T093,U006,130.6,50.0,2048.0,37.0,low,218.6,strong,standard
T094,U008,131.8,20.0,12288.0,28.0,high,209.8,soft,standard
T095,U005,134.0,25.0,24576.0,38.0,high,223.0,strong,standard
T096,U006,135.0,60.0,32768.0,42.0,low,204.0,soft,standard
T097,U010,136.1,75.0,4096.0,34.0,high,216.1,strong,standard
T098,U008,136.9,10.0,12288.0,25.0,low,182.9,strong,standard
T099,U005,136.9,50.0,8192.0,43.0,high,233.9,soft,high
T100,U007,137.1,30.0,2048.0,20.0,medium,213.1,soft,high
